"연도","상담유형","상담분류","상담세분류","상담건수"
"2017","재직관리","기여금","소급기여금 일시납부","32359"
"2017","금융기관알선대출","융자추천발급확인서","유선발급","26426"
"2017","민원서류 발급","발급신청","급여지급사실확인서","24897"
"2017","연금대출","연금대출신청","연금대출 가능금액","23654"
"2017","연금수급자 관리","연금소득 과세제도","연금소득 연말정산","17644"
"2017","퇴직급여","예상퇴직금","조회 및 조회방법 문의","15819"
"2017","연금수급자 관리","일부정지","일부정지대상","15545"
"2017","대여학자금","학자금 상환업무","중복수혜자 상환절차","13931"
"2017","재직관리","기여금","휴직중납부","13217"
"2017","교육","퇴직예정자교육","교육과정 및 교육신청방법","12835"
"2017","맞춤형복지","운영자시스템","인사변동처리(맞복)","12756"
"2017","전산관련","홈페이지관련","홈페이지 일반문의","12496"
"2017","부조급여","사망조위금","신청서류,절차(사망조위금)","12224"
"2017","연금대출","연금대출상환","완납 상환 및 절차","11585"
"2017","기타","전화끊김/통화중/무응답","","11364"
"2017","연금대출","연금대출상환","미납 상환 및 절차","10293"
"2017","퇴직급여","퇴직급여신청","청구서 접수 및 심사진행사항 확인","9480"
"2017","퇴직급여","연금개시연령","연금개시연령","9467"
"2017","연금수급자 관리","신분변동관련","계좌확인 및 변경방법 문의","9232"
"2017","연금지","연금지 구독 문의","연금지 재발송 및 주소변경","9005"
"2017","대여학자금","학자금 상환업무","학자금 상환시기,잔액확인","8984"
"2017","재직관리","기여금","기여금액 확인","8842"
"2017","민원서류 발급","발급신청","공무원연금내역서","8775"
"2017","금융기관알선대출","융자추천발급확인서","발급방법","8650"
"2017","재해보상급여","공무상요양승인","요양승인신청서류,절차","8483"
"2017","전산관련","홈페이지관련","홈페이지 비밀번호 문의","8344"
"2017","연금수급자 관리","신분변동관련","계좌번호 변경","8203"
"2017","맞춤형복지","사용자시스템","카드등록문의","8201"
"2017","민원서류 발급","발급신청","연금지급내역 확인서","7913"
"2017","재직관리","임용전군복무기간산입","신청절차 및 납부","7858"
"2017","연금대출","연금대출신청","연금대출 인터넷 신청절차","7811"
"2017","연금수급자 관리","연금지급일, 지급액 문의","","7754"
"2017","연금수급자 관리","연금소득 과세제도","자녀의 연말정산시 부양가족 해당여부","7696"
"2017","재직관리","기여금","기여금 과미납","7578"
"2017","퇴직급여","퇴직급여신청","신청서류 및 신청절차","7560"
"2017","연금담당자","연금담당자 등록, 변경","","6852"
"2017","맞춤형복지","사용자시스템","카드매출내역확인(맞복)","6811"
"2017","연금수급자 관리","신분변동관련","주소, 전화번호, 이메일 변경","6402"
"2017","맞춤형복지","사용자시스템","보험문의","6336"
"2017","연금대출","연금대출신청","대출상환 후 재대출","6189"
"2017","대여학자금","학자금 인터넷 대부","팩스 수신확인","6164"
"2017","연금대출","연금대출상환","일부상환 및 절차","6158"
"2017","퇴직급여","퇴직급여신청","퇴직급여 일반","6154"
"2017","민원서류 발급","발급신청","퇴직연금증서","5989"
"2017","유족급여","유족연금승계","신청서류 및 신청절차","5949"
"2017","주택사업","임대주택","입주신청 및 절차","5881"
"2017","주택사업","임대주택","재계약 절차 /재계약요건","5784"
"2017","금융기관알선대출","금융기관알선대출","대출 가능 금액 조회","5610"
"2017","연금대출","연금대출신청","신청시기","5523"
"2017","퇴직급여","퇴직급여신청","인터넷신청","5508"
"2017","맞춤형복지","사용자시스템","카드사용 청구방법","5507"
"2017","대여학자금","학자금 인터넷 대부","구비서류","5320"
"2017","연금대출","연금대출상환","상환내역 확인","5253"
"2017","대여학자금","학자금 인터넷 대부","인터넷 신청 입력방법","5211"
"2017","퇴직급여","퇴직급여 전반","퇴직급여 전반","5061"
"2017","유족급여","분할연금","","4961"
"2017","기타","타기관 전화","","4954"
"2017","주택사업","임대주택","월임대료관련문의","4821"
"2017","대여학자금","학자금 인터넷 대부","대부신청 처리현황","4800"
"2017","민원서류 발급","발급신청","연금소득원천징수영수증","4658"
"2017","연금대출","연금대출상환","상환금액 안내(전액, 당월분)","4639"
"2017","재직관리","재직기간 합산","합산신청 및 승인절차","4521"
"2017","부조급여","사망조위금","진행사항(사망조위금)","4512"
"2017","재해보상급여","공무상요양비","청구절차,서류(요양비)","4438"
"2017","맞춤형복지","사용자시스템","회원가입,로그인(맞복)","4348"
"2017","맞춤형복지","운영자시스템","승인및지급처리(맞복)","4340"
"2017","부조급여","사망조위금","지급대상,금액(사망조위금)","4329"
"2017","맞춤형복지","운영자시스템","배정 및 기준(맞복)","4202"
"2017","전산관련","홈페이지관련","홈페이지 로그인장애","4189"
"2017","맞춤형복지","항목구성","단체보험(맞복)","3883"
"2017","교육","퇴직예정자교육","교육비 수납 및 환불","3846"
"2017","연금지","연금지 구독 문의","연금지 기타","3714"
"2017","연금대출","연금대출신청","진행상황 확인","3693"
"2017","기타 경영사항","직원 전화번호 안내","직원 전화번호 안내","3628"
"2017","재직관리","재직기간","재직정보 확인","3618"
"2017","퇴직급여","급여지급 및 계좌관련","급여액 및 지급일,공제액 확인","3581"
"2017","재직관리","재직기간 합산","재직기간 합산대상","3568"
"2017","부조급여","사망조위금","인터넷청구(사망조위금)","3532"
"2017","맞춤형복지","사용자시스템","지급시기문의(맞복)","3314"
"2017","연금대출","연금대출신청","기타","3199"
"2017","재직관리","기여금","기여금 면제월","3115"
"2017","맞춤형복지","운영자시스템","운영자 승계, 등록(맞복)","2974"
"2017","재직관리","기여금","기타","2935"
"2017","맞춤형복지","사용자시스템","시스템 문의(맞복)","2932"
"2017","유족급여","연금법상 유족의 정의와 범위","연금법상 유족의 정의와 범위","2897"
"2017","유족급여","유족연금승계","유족연금승계율","2841"
"2017","맞춤형복지","사용자시스템","영수증청구방법(맞복)","2833"
"2017","연금대출","연금대출신청","입금소요시간","2817"
"2017","맞춤형복지","항목구성","배정기준(맞복)","2797"
"2017","재직관리","기여금","입금확인","2710"
"2017","연금대출","연금대출상환","상환계좌 변경방법","2692"
"2017","재해보상급여","공무상기간연장","기간연장 신청절차(서류)","2686"
"2017","연금지","연금지 구독 문의","연금지 (무료구독 후) 해지","2639"
"2017","재직관리","재직정보문의 및 변경","","2635"
"2017","대여학자금","학자금 상환업무","학자금 완납 상환","2522"
"2017","기타","기타","기타","2494"
"2017","주택사업","임대주택","퇴거신청 및 절차","2426"
"2017","연금대출","연금대출상환","상환기간 조정","2424"
"2017","대여학자금","학자금 상환업무","학자금 상환방법","2421"
"2017","주택사업","임대주택","기타","2394"
"2017","대여학자금","학자금 상환업무","학자금 일부 상환","2379"
"2017","대여학자금","학자금 상환업무","상환금액 입금확인","2377"
"2017","대여학자금","학자금 인터넷 대부","대여학자금 신청시기 문의","2298"
"2017","공적연금연계","연계신청","연계대상","2250"
"2017","주택사업","임대주택","보증금(월세)","2233"
"2017","맞춤형복지","사용자시스템","임시비밀번호발송","2224"
"2017","연금대출","연금대출신청","연금대출 구비서류","2208"
"2017","연금수급자 관리","일부정지","일부정지금액 정산","2199"
"2017","대여학자금","학자금 인터넷 대부","대부가능금액","2178"
"2017","기타 경영사항","지부 및 상록회관 관련 문의","지부 위치","2133"
"2017","퇴직급여","퇴직급여신청","퇴직급여 기타","2106"
"2017","맞춤형복지","운영자시스템","보험문의","2101"
"2017","연금대출","연금대출상환","기타","2040"
"2017","대여학자금","학자금 상환업무","퇴직시 학자금 상환절차","2039"
"2017","연금대출","연금대출신청","연금대출 적용이율","2016"
"2017","민원서류 발급","발급신청","연금수급증","1981"
"2017","교육","퇴직예정자교육","교육장 위치, 교통편 등 기타","1956"
"2017","재직관리","기여금","기여금/소급기여금 개념","1947"
"2017","재해보상급여","공무상요양비","지급대상(요양비)","1944"
"2017","연금수급자 관리","신분변동관련","연금수급자 신상확인","1936"
"2017","재직관리","기여금","개별수납 방법/계좌","1870"
"2017","재해보상급여","공무상요양승인","진행사항(승인신청)","1863"
"2017","민원서류 발급","발급신청","대부상환사실 확인서","1823"
"2017","연금지","연금지 구독 문의","연금지 구독","1803"
"2017","연금수급자 관리","일부정지","일부정지 해지","1749"
"2017","맞춤형복지","운영자시스템","온누리상품권","1748"
"2017","대여학자금","학자금 상환업무","학생 신상변동신고","1725"
"2017","교육","연금담당자교육","교육과정 및 교육신청방법","1724"
